EState,Division,CropType,Field,Area,NumberOfTree,Type
EST,MD,T,8A,1.5,19425,R
EST,MD,T,6A,0.8,9302,R
EST,MD,T,6,12.5,96063,R
EST,MD,T,10,16,NULL,R
EST,MD,T,7,7,25417,R
EST,MD,T,8,15.8,NULL,R
EST,MD,T,7A,0.8,9653,R
EST,MD,T,3A,3.3,48100,R
EST,MD,T,5,5,31505,R
EST,MD,T,19,5.8,30015,R
EST,MD,T,4A,3,17631,R
EST,MD,T,4B,2.5,14308,R
EST,MD,T,9,6.3,48919,R
EST,MD,T,6B,0.8,9257,R
EST,MD,T,FAC,0,0,R
EST,MD,T,GEN,0,0,R
EST,MD,T,OTH,0,0,O
EST,MD,T,9A,0.3,2961,R
EST,MD,T,5A,0.5,5855,R
EST,MD,T,8B,0.3,2993,R
EST,RAG,T,FW1,0,0,C
EST,RAG,T,FW2,0,0,C
EST,RAG,T,FW3,0,0,C
EST,RAG,T,FW4,0,0,C
EST,RAG,V,VHR,0,0,O
EST,MD,T,5B,1,3882,R
EST,MD,T,C4AV,0,0,C
EST,RAG,B,STL,0,0,R
EST,MD,T,C4CV,0,0,C
EST,MD,T,C4CM,1,0,C
EST,MD,T,7BVP,1,13500,C
EST,MD,T,C7BV,1,13500,C
EST,MD,T,C4EV,1,13500,C
EST,MD,T,C4DM,0.8,0,C
EST,MD,T,C4EM,0,0,C
EST,MD,T,C4FM,0.8,0,C
EST,MD,T,C4GM,0.5,0,C
EST,MD,T,C4HM,3,0,C
EST,MD,T,C4IV,3,40500,C
EST,MD,T,9B,6.5,50876,R
EST,MD,T,CMDG,0,0,C
EST,MD,T,COTH,0,0,C
EST,MD,T,4AVP,1.8,24000,R
EST,MD,T,GBMD,0,0,C
EST,MD,T,C4JM,1,0,C
EST,MD,T,C4KV,2,27000,C
EST,MD,T,GPM9,0,0,C
EST,MD,T,4AV,1.8,21000,R
EST,MD,T,4C,2,26000,R
EST,MD,T,4CVP,2,26000,R
EST,MD,T,GM10,0,0,C
EST,MD,T,C4LV,2,27000,C
EST,MD,T,GM11,0,0,C
EST,MD,T,C4FV,0.8,13500,C
EST,MD,T,GM12,0,0,C
EST,MD,T,4K,2,0,R
EST,MD,T,4E,0.5,0,R
EST,MD,T,11,8,0,R
EST,MD,T,4I,2,0,R
EST,MD,T,C4,0,0,C
EST,MD,T,7B,1,0,R
EST,MD,T,0131,1,0,R
EST,MD,T,4M,1,0,R
